Category,Subcategory,Gear Type Name,Code,Required Characteristics,Characteristic 1 - What It Means,Characteristic 2 - What It Means,Characteristic 3 - What It Means,Registration Approach Recommendation,Key Questions to Resolve,Complexity Rating,Implementation Notes
TRAWLS,Single trawl,Bottom otter trawl,OTB,"Model of trawl (optional) + Perimeter of opening","Model: Optional text identifier for the specific trawl design/brand","Perimeter: Mandatory measurement in metres - circumference of the trawl net opening where fish enter",N/A,Gear Set Model - Register once with optional model identifier,"1. Should ""model"" be free text or dropdown list? 2. How to validate perimeter values (min/max)?",Simple,"Single registration covers the gear. Model field helps fishers distinguish between different trawls of same type."
TRAWLS,Single trawl,Nephrops trawl,TBN,"Model of trawl (optional) + Perimeter of opening","Model: Optional text identifier for the specific trawl design","Perimeter: Mandatory - opening circumference in metres (typically smaller than general trawls)",N/A,Gear Set Model,"1. Same as OTB - free text vs dropdown for model? 2. Any species-specific validation rules?",Simple,Specialized for Nephrops (Norway lobster) - may have typical size ranges to validate against.
TRAWLS,Single trawl,Shrimp trawl,TBS,"Model of trawl (optional) + Perimeter of opening","Model: Optional trawl design identifier","Perimeter: Mandatory - net opening circumference in metres",N/A,Gear Set Model,"1. Model field consistency across all trawl types? 2. Typical size ranges for shrimp trawls?",Simple,Smaller opening than general trawls typically. Consider validation ranges.
TRAWLS,Single trawl,Bottom pair trawl,PTB,"Model of trawl (optional) + Perimeter of opening","Model: Optional design identifier","Perimeter: Mandatory - opening size in metres (operated by two vessels)",N/A,Gear Set Model,"1. Should system indicate this requires 2 vessels? 2. Coordination with other vessel's gear?",Simple,"Pair trawling = 2 vessels. Consider if registration should link to partner vessel or just note the requirement."
TRAWLS,Beam trawl,Beam trawl,TBB,Beam length of each beam + Number of beams towed,"Beam length: Mandatory - length in metres of each individual rigid beam frame","Number of beams: Mandatory count - how many beams the vessel tows simultaneously",N/A,Gear Set Model - Register with per-beam dimension + total count,"1. If beams have different lengths, register as separate gear entries? 2. Can number of beams change between trips?",Medium,"Multiple beams common. If all beams same length = one entry. Mixed lengths = multiple entries or average?"
TRAWLS,Multiple trawl,Twin bottom otter trawl,OTT,"Model (optional) + Perimeter per trawl + Number of trawls","Model: Optional trawl design identifier","Perimeter: Mandatory - opening size per individual trawl in metres","Number of trawls: Mandatory count - typically 2 for twin trawl",Gear Set Model - One entry representing the multi-trawl setup,"1. Must there always be exactly 2 trawls (twin)? 2. If trawls have different perimeters, how to handle?",Medium,"Twin = typically 2 trawls towed simultaneously. Register as one setup with dimensions per trawl."
TRAWLS,Multiple trawl,Multiple bottom otter trawl,OTP,"Model (optional) + Perimeter per trawl + Number of trawls","Model: Optional design identifier","Perimeter: Mandatory - size per individual trawl in metres","Number of trawls: Mandatory count - 3 or more trawls",Gear Set Model,"1. What's the maximum number of trawls typically used? 2. Same as OTT - handling different sizes?",Medium,"More than 2 trawls. Same considerations as OTT but potentially more complex with 3+ units."
TRAWLS,Multiple trawl,Bottom trawls (not elsewhere specified),TB,"Model (optional) + Perimeter per trawl + Number of trawls","Model: Optional identifier","Perimeter: Mandatory per trawl in metres","Number of trawls: Mandatory count",Gear Set Model,"1. This is a catch-all category - how to guide fishers to more specific types if known?",Medium,Catch-all for trawls not fitting other categories. May need help text to guide proper classification.
TRAWLS,Mid-water trawl,Mid-water otter trawl,OTM,"Model of trawl (optional) + Perimeter of opening","Model: Optional design identifier","Perimeter: Mandatory - opening circumference in metres (operates in water column, not on bottom)",N/A,Gear Set Model,"1. Any different validation rules vs bottom trawls? 2. Should depth range be captured?",Simple,"Mid-water = pelagic fishing. Opening may be larger than bottom trawls. Consider if depth/target species info useful."
TRAWLS,Mid-water trawl,Mid-water pair trawl,PTM,"Model of trawl (optional) + Perimeter of opening","Model: Optional identifier","Perimeter: Mandatory - opening size in metres (pair operation in mid-water)",N/A,Gear Set Model,"1. Link to partner vessel like PTB? 2. Coordination requirements?",Simple,Pair operation in mid-water. Similar considerations to PTB.
SEINES,Seines,Danish anchor seine,SDN,Overall length + Maximum height of seine lines,"Overall length: Mandatory - total length of seine rope/line in metres","Maximum height: Mandatory - vertical height of the net in metres",N/A,Gear Set Model,"1. Length = just rope or rope + net? 2. Height measured when deployed or maximum possible?",Medium,"Seine = encircling net with ropes. Length includes long rope lines, height is net depth."
SEINES,Seines,Scottish seine (fly dragging),SSC,Overall length + Maximum height of seine lines,"Overall length: Mandatory - total seine line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,"1. Difference from Danish seine in measurements? 2. Any Scotland-specific rules?",Medium,Technique differs from Danish seine but measurements similar.
SEINES,Seines,Pair seine,SPR,Overall length + Maximum height of seine lines,"Overall length: Mandatory - seine line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,"1. Two vessels - link registrations? 2. Each vessel registers separately or one lead vessel?",Medium,Operated by two vessels. Consider vessel coordination implications.
SEINES,Seines,Seine nets (not elsewhere specified),SX,Overall length + Maximum height of seine lines,"Overall length: Mandatory - line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,1. Guide to more specific seine types when possible?,Medium,Catch-all for unspecified seines. Provide guidance to classify more specifically.
SEINES,Seines,Boat or vessel seine,SV,Overall length + Maximum height of seine lines,"Overall length: Mandatory - line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,1. What distinguishes this from other seine types?,Medium,Specific seine variant. Clarify distinguishing features.
SEINES,Seines,Beach seine,BS,Overall length + Maximum height of seine lines,"Overall length: Mandatory - line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,"1. Shore-based operation - different validation? 2. Typically smaller scale?",Medium,"Shore-based seining. May have different typical size ranges. One end stays on shore."
SURROUNDING NETS,Surrounding nets,Purse seine,PS,Length + (Maximum) height of nets,"Length: Mandatory - total net length in metres when fully extended","Height: Mandatory - maximum depth the net reaches in metres",N/A,Gear Set Model,"1. Large scale gear - validate against vessel size? 2. ""Maximum"" height = deepest point?",Medium,"Large encircling net that ""purses"" closed at bottom. Significant gear - may want vessel size checks."
SURROUNDING NETS,Surrounding nets,One boat operated purse seine,PS1,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - maximum depth in metres",N/A,Gear Set Model,1. Typically smaller than two-boat version?,Medium,Single vessel operation. May have different size characteristics than PS2.
SURROUNDING NETS,Surrounding nets,Two boat operated purse seine,PS2,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - maximum depth in metres",N/A,Gear Set Model,"1. Vessel coordination considerations? 2. Larger scale than PS1?",Medium,Two vessel operation. Coordination and size considerations.
SURROUNDING NETS,Surrounding nets,Without purse lines (lampara),LA,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - net depth in metres",N/A,Gear Set Model,1. Different closing mechanism - affects measurements?,Medium,"Lampara-style net without purse mechanism. Traditional Mediterranean gear."
SURROUNDING NETS,Surrounding nets,Surrounding nets (not elsewhere specified),SUX,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - net depth in metres",N/A,Gear Set Model,1. Guide to specific types when known?,Medium,Catch-all category. Encourage specific classification.
LIFT NETS,Lift nets,Portable lift nets,LNP,Maximum perimeter per net + Number of nets (if >1),"Maximum perimeter: Mandatory - circumference of the net frame in metres (per individual net)","Number of nets: MANDATORY if using more than 1 net, OPTIONAL if only 1 net",N/A,Gear Set Model with conditional count,"1. If using 1 net, should count field be hidden or show ""1""? 2. Track individual net IDs?",Medium,"Conditional logic: number field required only if >1. Consider UX for single vs multiple nets."
LIFT NETS,Lift nets,Boat-operated lift nets,LNB,Maximum perimeter per net + Number of nets (if >1),"Maximum perimeter: Mandatory - net frame perimeter in metres per unit","Number of nets: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,"1. Operated from boat - size limits based on vessel? 2. Same conditional logic as LNP?",Medium,Boat-based operation. May have vessel size constraints.
LIFT NETS,Lift nets,Shore-operated stationary lift nets,LNS,Maximum perimeter per net + Number of nets (if >1),"Maximum perimeter: Mandatory - perimeter per net in metres","Number of nets: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,"1. Shore-based = fixed locations? 2. Need location tracking?",Medium,"Shore-based, stationary. May need location data (coordinates or named location)."
LIFT NETS,Lift nets,Lift nets (not elsewhere specified),LN,Maximum perimeter per net + Number of nets (if >1),"Maximum perimeter: Mandatory - perimeter in metres per net","Number of nets: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,1. Guide to specific lift net types?,Medium,Catch-all category. Provide classification guidance.
FALLING GEAR,Falling gear,Cast nets,FCN,Maximum perimeter per net/device + Number (if >1),"Maximum perimeter: Mandatory - circumference of the cast net in metres when fully opened","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,"1. Typically small, hand-thrown - validate size ranges? 2. Usually one per fisher?",Simple,"Small-scale gear, hand-thrown. Typically individual fishers use one net."
FALLING GEAR,Falling gear,Cover pots/Lantern nets,FCO,Maximum perimeter per net/device + Number (if >1),"Maximum perimeter: Mandatory - perimeter of device opening in metres","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,1. What exactly is a cover pot/lantern net? Need clarification?,Medium,Specialized gear type. May need reference images or descriptions for fishers.
FALLING GEAR,Falling gear,Falling gear (not elsewhere specified),FG,Maximum perimeter per net/device + Number (if >1),"Maximum perimeter: Mandatory - device perimeter in metres","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,1. Guide to specific types when possible?,Medium,Catch-all category. Encourage specific classification.
DREDGES,Dredges,Towed dredge,DRB,Width of each dredge + Number of dredges (if >1),"Width: Mandatory - width of individual dredge basket/frame in metres","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,"1. Width = working width or frame width? 2. Multiple dredges common?",Medium,"Towed behind vessel. Width is key dimension. Multiple dredges can be ganged together."
DREDGES,Dredges,Hand dredge,DRH,Width of each dredge + Number of dredges (if >1),"Width: Mandatory - dredge width in metres (typically smaller than towed)","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,"1. Hand-operated = size limits? 2. Usually just one?",Simple,"Hand-operated, small scale. Typically one dredge per fisher."
DREDGES,Dredges,Mechanized dredge,DRM,Width of each dredge + Number of dredges (if >1),"Width: Mandatory - dredge width in metres","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,"1. Mechanized = hydraulic? 2. Power source relevant to register?",Medium,Mechanically powered dredge. May have different regulations based on power.
DREDGES,Dredges,Dredge (not elsewhere specified),DRX,Width of each dredge + Number of dredges (if >1),"Width: Mandatory - dredge width in metres","Number: MANDATORY if >1, OPTIONAL if 1",N/A,Gear Set Model with conditional count,1. Guide to specific dredge types?,Medium,Catch-all category. Provide classification guidance.
GILLNETS,Gillnets and entangling nets,Gillnets (not elsewhere specified),GN,Overall length(¹) + Height of nets,"Overall length: Mandatory - total length when deployed in metres (¹cumulative for aggregated reporting)","Height: Mandatory - vertical height/depth of net in metres",N/A,Gear Set Model - Note aggregated reporting rule,"1. Register total length owned or typical deployment length? 2. Aggregation happens at reporting, not registration?",Medium,"(¹) IMPORTANT: Aggregated reporting rule applies when REPORTING usage, not during registration. At registration, capture typical/total gear length owned."
GILLNETS,Gillnets and entangling nets,Gillnets anchored (set),GNS,Overall length(¹) + Height of nets,"Overall length: Mandatory - total net length in metres","Height: Mandatory - net depth in metres",N/A,Gear Set Model,"1. ""Anchored"" = fixed location - need location data? 2. Length = single net or string of nets?",Medium,"Set = stationary nets anchored in place. Length could be single net or connected series."
GILLNETS,Gillnets and entangling nets,Gillnets (drift),GND,Overall length(¹) + Height of nets,"Overall length: Mandatory - length in metres (drifts with current)","Height: Mandatory - net depth in metres",N/A,Gear Set Model,"1. Drift nets = mobile - different rules? 2. Some regions ban drift nets?",Medium,"Drift = moves with current/tide. May have restrictions in some areas. Check local regulations."
GILLNETS,Gillnets and entangling nets,Gillnets (circling),GNC,Overall length(¹) + Height of nets,"Overall length: Mandatory - net length in metres (set in circle/arc)","Height: Mandatory - net depth in metres",N/A,Gear Set Model,"1. Circling = surrounds area? 2. Length = arc length?",Medium,Set in circular/arc pattern. Length measurement represents arc perimeter.
GILLNETS,Gillnets and entangling nets,Gillnets fixed (on stakes),GNF,Overall length(¹) + Height of nets,"Overall length: Mandatory - length in metres (permanently staked)","Height: Mandatory - net depth in metres",N/A,Gear Set Model,"1. Fixed on stakes = permanent installation? 2. Need location registration?",Medium,"Permanently fixed nets on stakes. May require location data, possibly permits."
GILLNETS,Gillnets and entangling nets,Combined gillnets-trammel nets,GTN,Overall length(¹) + Height of nets,"Overall length: Mandatory - total length in metres (combination design)","Height: Mandatory - net depth in metres",N/A,Gear Set Model,1. Combination gear - clarify the design difference?,Medium,Specialized combination design. May need explanation of structure.
GILLNETS,Gillnets and entangling nets,Trammel nets,GTR,Overall length(¹) + Height of nets,"Overall length: Mandatory - length in metres (three-layer net design)","Height: Mandatory - net depth in metres",N/A,Gear Set Model,1. Three layers - affects measurements?,Medium,"Three-layer net design (two outer walls, one inner). Structure more complex than simple gillnet."
GILLNETS,Gillnets and entangling nets,Gillnets and entangling nets (not elsewhere specified),GEN,Overall length(¹) + Height of nets,"Overall length: Mandatory - length in metres","Height: Mandatory - depth in metres",N/A,Gear Set Model,1. Guide to specific gillnet types?,Medium,Catch-all category. Encourage specific classification.
TRAPS,Pots,Pots,FPO,Number of pots (e.g. creels) used(¹),"Number of pots: Mandatory - total count of pots/creels owned (¹cumulative count for aggregated reporting)",N/A,N/A,Gear Set Model - Simple count only,"1. Just count or also track individual pot IDs? 2. How to handle lost pots - reduce count or mark separately? 3. Distinguish between ""owned"" vs ""in use""?",Simple,"Simplest gear registration - just a count. (¹) Aggregation rule: sum across hauls when reporting, but at registration this is total pots owned/available."
TRAPS,Fyke nets,Fyke nets,FYK,Overall length + Height of wings/leaders per net + Number of nets,"Overall length: Mandatory - combined length of wings and leaders in metres (per individual fyke net)","Height: Mandatory - vertical height of wings/leaders in metres","Number: Mandatory - count of fyke nets in this gear set",Gear Set Model OR Individual Unit Model (DECISION NEEDED),"1. CRITICAL: Register as set (one entry for multiple identical nets) or individually (one entry per net)? 2. If mixed sizes, must register separately? 3. How to handle adding/removing nets from set?",Complex,"MOST COMPLEX trap type. Multiple measurements per unit PLUS count. Key decision point for registration model. See earlier discussion on Approach A vs B vs C."
TRAPS,Stow nets,Stow nets,FSN,Length + Height of frame,"Length: Mandatory - length of the net frame in metres","Height: Mandatory - height of frame structure in metres",N/A,Gear Set Model,1. Frame dimensions = outer frame or net dimensions?,Medium,Fixed frame trap. Frame is structural component - clarify measurement points.
TRAPS,Barriers/fences/weirs,Barriers/fences/weirs etc.,FWR,Total length + Height,"Total length: Mandatory - full length of barrier/fence/weir in metres","Height: Mandatory - vertical height in metres",N/A,Gear Set Model,"1. Permanent structures? 2. Need location/coordinates? 3. Permit requirements?",Medium,"Large fixed structures. Likely require permits and location data. May be permanent installations."
TRAPS,Aerial traps,Aerial traps,FAR,Length + Height underwater + Length + Height aerial,"Length underwater: Mandatory - underwater portion length in metres","Height underwater: Mandatory - underwater portion height in metres","Length aerial: Mandatory - above-water portion length in metres + Height aerial: Mandatory - above-water height in metres",Individual Unit Model - Four separate measurements required,"1. CRITICAL: How to capture 4 measurements in form? Four separate fields? 2. What exactly is an aerial trap - need definition? 3. Validation rules for proportions?",Complex,"MOST COMPLEX measurements - 4 required dimensions (underwater L+H, aerial L+H). Form UX challenge. Need clear visual guide for fishers. May need diagram."
TRAPS,Stationary uncovered pound nets,Stationary uncovered pound nets,FPN,Overall length + Height of wings and leaders,"Overall length: Mandatory - combined length of wings/leaders in metres","Height: Mandatory - height of wing/leader structures in metres",N/A,Gear Set Model,"1. Similar to fyke nets but ""stationary uncovered"" - how different? 2. Fixed location needs coordinates?",Medium,"Similar structure to fyke nets (wings/leaders) but stationary and uncovered. May need location data."
TRAPS,Traps (not specified),Traps (not elsewhere specified),FIX,Dimensions + Description + Number of gears,"Dimensions: Mandatory - key measurements in metres (free text or structured?)","Description: Mandatory - text description of gear type/design","Number: Mandatory - count of gear units",Hybrid Model - Requires free text description,"1. CRITICAL: How to capture flexible ""dimensions"" - free text field or predefined dimension types? 2. Description field = free text or dropdown options? 3. Validation challenges?",Complex,"CATCH-ALL trap category with FREE TEXT requirements. Most flexible but hardest to standardize. May need examples/templates to guide fishers."
HOOKS AND LINES,Hooks and lines,Handlines and pole lines (hand operated),LHP,Total number of lines(¹) + Total number of hooks(¹) + Size of hooks,"Number of lines: Mandatory - count of fishing lines","Number of hooks: Mandatory - total hooks across all lines","Hook size: Mandatory - hook size measurement (what unit? mm? size code?)",Gear Set Model - Three measurements,"1. Hook size = numeric measurement or code (e.g. ""#4"")? 2. (¹)Aggregation: at registration, total gear owned or typical deployment? 3. If multiple hook sizes, register separately?",Medium,"Three measurements needed. Hook size needs unit/standard definition. Consider aggregated reporting rule."
HOOKS AND LINES,Hooks and lines,Lines and pole lines (mechanised),LHM,Total number of lines(¹) + Total number of hooks(¹) + Size of hooks,"Number of lines: Mandatory - line count","Number of hooks: Mandatory - total hook count","Hook size: Mandatory - hook size",Gear Set Model,"1. ""Mechanised"" = powered? Need power info? 2. Same hook size questions as LHP?",Medium,"Mechanized version. May have different capacity/scale. Hook size standardization critical."
HOOKS AND LINES,Hooks and lines,Vertical lines,LVT,Total number of lines(¹) + Total number of hooks(¹) + Size of hooks,"Number of lines: Mandatory - line count (vertical fishing)","Number of hooks: Mandatory - hook count","Hook size: Mandatory - hook size",Gear Set Model,1. Vertical = jigging style? Different hook requirements?,Medium,Vertical fishing method. Technique differs but measurements similar.
HOOKS AND LINES,Hooks and lines,Trolling lines,LTL,Total number of lines(¹) + Total number of hooks(¹) + Size of hooks,"Number of lines: Mandatory - line count (trolled behind boat)","Number of hooks: Mandatory - hook count","Hook size: Mandatory - hook size",Gear Set Model,1. Trolling = moving lines - affects measurements?,Medium,Lines dragged behind moving vessel. Active fishing method.
HOOKS AND LINES,Hooks and lines,Hooks and lines (not elsewhere specified),LX,Total number of lines(¹) + Total number of hooks(¹) + Size of hooks,"Number of lines: Mandatory - line count","Number of hooks: Mandatory - hook count","Hook size: Mandatory - hook size",Gear Set Model,1. Guide to specific hook/line types?,Medium,Catch-all category. Encourage specific classification.
HOOKS AND LINES,Longlines,Set longlines,LLS,Overall length of lines(¹) + Total number of hooks(¹) + Size of hooks,"Line length: Mandatory - total length of main line in metres","Number of hooks: Mandatory - total hooks on line","Hook size: Mandatory - hook size",Gear Set Model,"1. Length = main line only or including branch lines? 2. Large scale gear - validate against vessel size?",Medium,"Long main line with many branch lines/hooks. Length measurement needs clarification (main line vs total)."
HOOKS AND LINES,Longlines,Drifting longlines,LLD,Overall length of lines(¹) + Total number of hooks(¹) + Size of hooks,"Line length: Mandatory - total line length in metres (drifts with current)","Number of hooks: Mandatory - hook count","Hook size: Mandatory - hook size",Gear Set Model,"1. Drift longline = pelagic fishing? 2. Different regulations than set longlines?",Medium,"Drifts with current instead of anchored. May have different rules/restrictions."
HOOKS AND LINES,Longlines,Longlines (not elsewhere specified),LL,Overall length of lines(¹) + Total number of hooks(¹) + Size of hooks,"Line length: Mandatory - line length in metres","Number of hooks: Mandatory - hook count","Hook size: Mandatory - hook size",Gear Set Model,1. Guide to set vs drift classification?,Medium,Catch-all longline category. Encourage specific type selection.
MISCELLANEOUS,Miscellaneous gears,Harpoons,HAR,Dimensions + Description + Number of gears,"Dimensions: Mandatory - key measurements (length? free text?)","Description: Mandatory - text description of harpoon type","Number: Mandatory - count of harpoons",Gear Set Model with free text,"1. Dimensions = just length or more detail? 2. Traditional vs modern harpoons - different data?",Medium,"Simple tool but free text fields. May need standardization guidance."
MISCELLANEOUS,Miscellaneous gears,Hand implements (wrenching gear/clamps/tongs/rakes/spears),MHI,Dimensions + Description + Number of gears,"Dimensions: Mandatory - measurements of implement","Description: Mandatory - type of implement and details","Number: Mandatory - count of implements",Gear Set Model with free text,"1. Wide variety of tools - how to standardize? 2. Each type needs separate registration?",Complex,"Very broad category covering multiple tool types. Hard to standardize. May need subcategories."
MISCELLANEOUS,Miscellaneous gears,Pumps,MPM,Dimensions + Description + Number of gears,"Dimensions: Mandatory - pump capacity/size measurements","Description: Mandatory - pump type and specifications","Number: Mandatory - count of pumps",Gear Set Model,"1. Dimensions = flow rate? physical size? 2. Suction fishing = special regulations?",Medium,"Pumping devices for harvesting. May have specific regulations around suction fishing."
MISCELLANEOUS,Miscellaneous gears,Pushnets,MPN,Dimensions + Description + Number of gears,"Dimensions: Mandatory - net dimensions (width/length)","Description: Mandatory - pushnet design details","Number: Mandatory - count of pushnets",Gear Set Model,1. Common dimensions to standardize? Width? Depth?,Medium,Nets pushed through water/substrate. Likely have typical dimension patterns.
MISCELLANEOUS,Miscellaneous gears,Scoopnets,MSP,Dimensions + Description + Number of gears,"Dimensions: Mandatory - net dimensions (diameter/depth)","Description: Mandatory - scoopnet type","Number: Mandatory - count of nets",Gear Set Model,1. Diameter and depth most relevant? Standardize these?,Medium,Hand-held scoop nets. Likely have standard dimensions to capture.
MISCELLANEOUS,Miscellaneous gears,Drive-in nets,MDR,Dimensions + Description + Number of gears,"Dimensions: Mandatory - net dimensions","Description: Mandatory - net design and use","Number: Mandatory - count of nets",Gear Set Model,1. What exactly is a drive-in net? Need definition?,Medium,Specialized technique. May need explanation/examples for fishers.
MISCELLANEOUS,Miscellaneous gears,Diving,MDV,Dimensions + Description + Number of gears,"Dimensions: Mandatory - relevant measurements (depth rating? free text?)","Description: Mandatory - diving method/equipment details","Number: Mandatory - count (divers? sets of equipment?)",Individual Unit Model?,"1. UNUSUAL: ""Number"" = divers or equipment sets? 2. Dimensions = depth rating? equipment specs? 3. Should this even be ""gear"" or a fishing method?",Complex,"UNUSUAL category - diving is a method not physical gear. May need rethinking of data model. What are we actually registering?"
MISCELLANEOUS,Miscellaneous gears,Harvesting machines (not elsewhere specified),HMX,Dimensions + Description + Number of gears,"Dimensions: Mandatory - machine specifications","Description: Mandatory - machine type and capacity","Number: Mandatory - count of machines",Gear Set Model,"1. Very broad category - dredges, rakes, etc? 2. Power source relevant?",Complex,"Mechanical harvesting equipment. Very broad - may need subcategories. Overlap with dredges?"
MISCELLANEOUS,Miscellaneous gears,Gear (not elsewhere specified),MIS,Dimensions + Description + Number of gears,"Dimensions: Mandatory - relevant measurements","Description: Mandatory - gear description","Number: Mandatory - count of gear units",Gear Set Model with free text,"1. Ultimate catch-all - should strongly guide to specific types 2. Validation challenges 3. Examples needed",Complex,"Ultimate catch-all category. Should be rare - guide users to specific categories. Need strong help text and examples."
